01208500,Mountain Dew,Soda,0.00
01216606,Diet Mountain Dew,Soda,0.00
071698001297,Seltzer (Mandarin Orange),Soda,0.00
071698001105,Seltzer (Original),Soda,0.00
071698001143,Seltzer (Rasberry Lime),Soda,0.00
049000047561,Cherry Coke Zero,Soda,0.00
04924805,Fresca,Soda,0.00
04963406,Coke,Soda,0.00
07811403,Canada Dry,Soda,0.00
613008725914,Arnold Palmer Half & Half,Soda,0.00
04965802,Diet Coke,Soda,0.00
012000007590,Brisk Iced Tea,Soda,0.00
07828005,Diet Sunkist,Soda,0.00
052000207149,Gatorade - Lime,Energy Drink,0.00
070920474458,Hot Chocolate,Hot Beverage,0.00
Tea,Tea,Hot Beverage,0.00
Coffee,Coffee,Hot Beverage,0.00
Water (8 oz),Water (8 oz),Water,0.00
Demo,Demo,Demo,0.00
